"name","longitude","latitude","prov","date","key"
"Craugastor fleischmanni",-83.7833,10.2167,"gbif",NA,476553976
"Varanus varius",152.79859,-31.4675700286694,"gbif","2013-04-30",1070847359
"Eremiascincus richardsonii",136.90444,-33.58054,"gbif","2011-11-04",691156770
"Notechis scutatus",152.16862,-31.567620028826,"gbif","1982-01-12",1074998909
"Pseudacris regilla",-116.7258,36.9533,"gbif","2006-05-31",358967042
"Takydromus sexlineatus",109.883,1.05,"gbif","1980-09-30",1100535505
"Tiliqua rugosa",142.25954,-34.1028400325912,"gbif","2013-08-25",1071390691
"Uta stansburiana",-112.505,36.3967,"gbif","2016-04-22",1269544159
"Anolis lemurinus",-88.1868,15.3899,"gbif","1931-07-12",476643346
"Psammodromus hispanicus",-7.47,37.53,"gbif",NA,165008930
"Psammodromus algirus",1.02,41.58,"gbif",NA,165007308
"Psammodromus algirus",-0.07,41.29,"gbif",NA,165008051
"Sceloporus undulatus",-103.17216,36.64099,"gbif","1999-04-25",686993461
"Rhinella marina",147.07182,-9.03746,"gbif","2014-06-02",1270724768
"Incilius alvarius",-111.38,33.03,"gbif","1973-07-12",786441204
"Eremiascincus richardsonii",140.69306,-24.17306,"gbif","1997-09-17",1066571321
"Incilius alvarius",-112.370476606516,30.9800968744456,"gbif","1966-08-03",657429571
"Incilius marmoreus",-105.870276829741,23.120427882793,"gbif","1972-07-10",1061372172
"Lithobates pipiens",-65.15529,45.89779,"gbif","2004-06-16",44153989
"Anolis lemurinus",-88.68,17.15,"gbif","1982-08-21",786363616
"Incilius mazatlanensis",-105.210254535951,21.5904978870466,"gbif","1979-04-09",657477900
"Sceloporus graciosus",-112.28784,43.96477,"gbif","2016-04-21",1270045255
"Psammodromus hispanicus",-6.11,40.57,"gbif",NA,165009118
"Sceloporus variabilis",-98.68138,29.60505,"gbif","2016-01-12",1229614265
"Chamaeleo dilepis",35.9,-3.55,"gbif","1956-08-01",476673621
"Hemiergis decresiensis",147.54112,-35.7403700347566,"gbif","2005-01-10",1069841407
"Zootoca vivipara",5.35071,52.10573,"gbif",NA,1215133866
"Sceloporus undulatus",-100.57159,32.73576,"gbif","2009-04-16",675500048
"Stellagama stellio",34.1056,36.45415,"gbif","2011-03-29",922135758
"Moloch horridus",116.316,-28.65,"gbif",NA,500717921
"Pseudonaja textilis",150.20993,-34.1491600326557,"gbif","2003-03-20",1071846690
"Moloch horridus",120.3,-27.96667,"gbif","1967-11-20",657397764
"Egernia saxatilis",146.27,-37.03,"gbif","1972-02-08",1272410463
"Plestiodon gilberti",-117.36921,33.7844699991276,"gbif","1963-02-23",686864428
"Egernia striolata",150.49046,-30.7886000275937,"gbif","2003-11-25",1072109935
"Plestiodon gilberti",-116.86667,32.4499999991452,"gbif","1961-09-04",45053361
"Ctenotus uber",118.50778,-25.50306,"gbif",NA,691904622
"Egernia striolata",149.98694,-26.56694,"gbif","2003-02-25",1066581869
"Zootoca vivipara",6.54613,50.71429,"gbif","2014-04-23",923885089
"Lampropholis delicata",152.179,-28.8459400244239,"gbif","2010-10-26",1071894895
"Plestiodon gilberti",-118.944372834555,35.633349005014,"gbif","1971-02-14",1145660809
"Anaxyrus debilis",-107.88583,32.77569,"gbif","1959-07-14",657343569
"Psammodromus hispanicus",-0.85,39.41,"gbif",NA,165009278
"Psammodromus algirus",-6.68,41.03,"gbif",NA,165007582
"Ctenotus uber",143.58901,-33.7420000320829,"gbif","1998-12-16",1074658409
"Egernia striolata",148.65105,-30.6620900273911,"gbif","2009-10-02",1071622561
"Rana pretiosa",-121.88922,44.2134499990571,"gbif","1956-08-15",884820497
"Bassiana duperreyi",141.258,-37.5708,"gbif",NA,1272471419
"Liolaemus darwinii",-66.7055,-42.53006,"gbif",NA,1211938379
"Pseudonaja textilis",144.53923,-34.5462400332012,"gbif","2002-11-07",1071913016
"Pseudonaja textilis",149.18333,-21.45556,"gbif","1998-02-16",1066569338
"Rhinella marina",-93.042,16.759,"gbif","2005-05-08",370676623
"Pseudonaja textilis",147.76147,-35.2516400341362,"gbif","2006-09-20",1069841440
"Sphaerodactylus macrolepis",-67.15967,18.3994,"gbif","2001-01-30",1145546976
"Pseudacris regilla",-114.18455,46.2494,"gbif","2003-12-31",624014257
"Lampropholis delicata",175.94823,-37.4419,"gbif","2015-03-17",1265533450
"Anolis lemurinus",-92.079,15.8,"gbif","1999-01-18",370640307
"Lithobates warszewitschii",-83.62095,9.91354,"gbif","1973-07-13",1037808832
"Pseudonaja textilis",153.15623,-29.991010026306,"gbif","2007-04-20",1070820732
"Platysaurus intermedius",31.83333,-23.98333,"gbif","1988-03-30",287127289
"Austrelaps superbus",145.57,-38.37,"gbif","1978-10-21",478603527
"Pseudacris cadaverina",-115.76694,31.11667,"gbif","1973-08-03",1145442036
"Egernia saxatilis",151.70726,-29.2656700251174,"gbif","1997-01-28",1071838854
"Lacerta agilis",16.1765,56.5045,"gbif","2014-07-23",932700470
"Ctenotus taeniolatus",148.13166,-35.2469400341301,"gbif","2005-11-08",1069707406
"Lepidophyma flavimaculatum",-84.61952,10.38649,"gbif","2013-06-06",1269541156
"Lacerta agilis",8.38161,49.41559,"gbif","2015-07-20",1137024622
"Zootoca vivipara",11.26035,59.73235,"gbif","2016-05-06",1272933950
"Liolaemus koslowskyi",-66.50722,-27.60581,"gbif",NA,1211937824
"Anolis carolinensis",-92.61675,31.2348,"gbif","2016-04-02",1265555542
"Psammodromus hispanicus",-7.02,37.62,"gbif",NA,165008906
"Moloch horridus",121.65,-24.85,"gbif",NA,690967784
"Psammodromus algirus",-4.86,41.49,"gbif",NA,165008003
"Notechis scutatus",152.95,-26.85,"gbif","1977-09-21",1066529825
"Incilius mazatlanensis",-110.960427976215,28.820178477839,"gbif","1964-08-15",1061347378
"Tiliqua nigrolutea",145.67,-36.67,"gbif","1971-12-14",1272410188
"Dipsosaurus dorsalis",-116.34846,33.82431,"gbif","2016-03-24",1262389319
"Gehyra variegata",122.8186,-32.01638,"gbif","2007-12-02",691144807
"Amphibolurus muricatus",147.41504,-35.7015400347082,"gbif","2005-01-10",1069841381
"Anolis humilis",-84.0167,10.55711,"gbif","1968-06-29",476764379
"Chamaeleo dilepis",30.125,-22.375,"gbif",NA,286884105
"Anolis carolinensis",-94.6802,33.20318,"gbif","2015-08-27",1143526414
"Amphibolurus muricatus",151.48421,-32.183750029779,"gbif","2001-10-22",1069740757
"Moloch horridus",133.6077,-24.0708,"gbif","2001-10-18",484356501
"Eurycea bislineata",-72.5694464218035,42.4699460175071,"gbif","1994-04-17",1145535706
"Psammodromus algirus",-6.34,37.51,"gbif",NA,165005995
"Ctenotus uber",141.03934,-33.6084300318922,"gbif","1999-03-31",1074651127
"Chamaeleo dilepis",32.35,-19.95,"gbif","1937-12-31",287041730
"Anaxyrus cognatus",-103.4,32.3,"gbif",NA,174492592
"Bassiana duperreyi",140.28269,-36.75983,"gbif","1996-01-16",501897064
"Liolaemus bibronii",-69.41153,-31.82239,"gbif",NA,231019193
"Psammodromus hispanicus",-5.56,37.96,"gbif",NA,165009147
"Rana cascadae",-121.80977,44.25984,"gbif","1995-09-01",240695831
"Tiliqua nigrolutea",149.62971,-33.883180032283,"gbif",NA,1070169373
"Varanus varius",148.99104,-31.2845400283815,"gbif","2014-09-11",1074838208
"Pseudonaja textilis",146.767,-19.2,"gbif","2006-05-19",1085951241
"Sceloporus malachiticus",-89.56749,13.82853,"gbif","2002-01-22",1039477175
"Chamaeleo dilepis",33.95,-9.55,"gbif",NA,476684316
"Notechis scutatus",149.7944,-33.5476400318049,"gbif","2013-12-09",1070896677
"Eremiascincus fasciolatus",141.15623,-33.439490031649,"gbif","1995-03-19",1067064702
"Chamaeleo dilepis",28.375,-24.375,"gbif",NA,286884137
"Psammodromus algirus",-6.03,36.69,"gbif",NA,165006565
"Lacerta agilis",7.89316,49.92553,"gbif","2014-05-22",922131668
"Incilius mazatlanensis",-106.320287461978,23.1504247675295,"gbif","1966-08-19",657430396
"Pseudonaja textilis",145.18023,-35.5793300345547,"gbif","1998-02-28",1074901012
"Eurycea bislineata",-71.75507,43.16726,"gbif","2015-10-14",1144979114
"Psammodromus hispanicus",-2.83,38.89,"gbif",NA,165008241
"Lacerta agilis",8.18263,47.631,"gbif","2014-03-28",922186396
"Moloch horridus",117.95,-24,"gbif",NA,690978077
"Gehyra variegata",134.52227,-25.3112300185555,"gbif","2008-07-05",480560224
"Bassiana duperreyi",151.82638,-31.1861,"gbif","1998-05-04",1100433700
"Varanus varius",150.0443,-36.58477,"gbif","2014-10-29",1052579572
"Chamaeleo dilepis",39.6,-4.01667,"gbif","1957-11-03",543676740
"Psammodromus hispanicus",-5.53,40.31,"gbif",NA,165008528
"Pseudacris cadaverina",-116.8962,32.96624,"gbif","2002-08-05",543599962
"Psammodromus algirus",-0.95,39.96,"gbif",NA,165005428
"Uta stansburiana",-117.09931,33.08621,"gbif","2016-04-18",1265580897
"Chamaeleo dilepis",28.51667,-20.5,"gbif","1925-03-10",476660486
"Incilius alvarius",-110.880439958057,30.7901113910782,"gbif","1965-07-09",657429566
"Egernia striolata",149.87775,-32.0901400296356,"gbif","2012-11-06",1070466600
"Egernia striolata",145.11964,-33.1936100312913,"gbif","2003-09-13",1071738950
"Liolaemus kingii",-67.71,-49.3,"gbif","1969-02-10",786277227
"Sceloporus undulatus",-113.28487,36.76287,"gbif","2008-05-29",1228051450
"Ctenotus taeniolatus",150.62972,-33.947750032374,"gbif","2006-04-16",1071869608
"Sceloporus occidentalis",-122.51346,37.58788,"gbif","2016-01-09",1229611922
"Ctenotus uber",149.16788,-36.1817700352966,"gbif","1990-10-18",1067124372
"Sceloporus malachiticus",-89.37972,13.65944,"gbif","2000-08-05",686683810
"Psammodromus hispanicus",-6.04,36.51,"gbif",NA,165008640
"Gehyra variegata",137.30111,-29.64416,"gbif","2007-11-12",691144591
"Liolaemus darwinii",-68.06592,-32.16944,"gbif",NA,1211938681
"Liolaemus bibronii",-70.57453,-40.87872,"gbif",NA,1211938295
"Austrelaps superbus",144,-39.916,"gbif","1973-03-09",500720264
"Pseudonaja textilis",138.78591,-35.15077,"gbif","2001-01-28",501562990
"Anolis carolinensis",-91.03899,30.42634,"gbif","2015-07-15",1135528230
"Notechis scutatus",151.217,-33.883,"gbif","1977-12-31",1085934065
"Anaxyrus cognatus",-106.180312556981,28.5202126683227,"gbif","1971-07-13",786255210
"Psammodromus algirus",-0.33,40.76,"gbif",NA,165007786
"Sceloporus variabilis",-87.15,14.17,"gbif","2008-03-01",886964479
"Pseudonaja textilis",141.99583,-31.35833,"gbif","1997-11-07",1100422210
"Moloch horridus",133.867662983791,-23.6986359629229,"gbif","2007-05-17",1066591385
"Eleutherodactylus coqui",-64.78706,18.32294,"gbif","2002-05-21",624013381
"Psammodromus algirus",1.15,41.13,"gbif",NA,165007756
"Psammodromus hispanicus",-2,39.97,"gbif",NA,165008732
"Zootoca vivipara",8.86726,60.25805,"gbif","2016-05-04",1272933852
"Psammodromus hispanicus",-1.97,42.4,"gbif",NA,165008198
"Rana pretiosa",-121.996668354223,44.3489419647584,"gbif","1934-07-23",1145476566
