"name","longitude","latitude","prov","date","key","rcID"
"Puma concolor",-122.582788,38.504604,"gbif","2018-04-25",1847437917,"80"
"Puma concolor",-120.749078,47.295303,"gbif","2018-04-27",1880459217,"81"
"Puma concolor",-110.643454,32.012146,"gbif","2018-04-04",1891287520,"82"
"Puma concolor",-110.643333,32.013054,"gbif","2018-04-04",1891287518,"83"
"Puma concolor",-121.366353,37.120401,"gbif","2018-04-07",1838036687,"84"
"Puma concolor",-123.214073,39.043186,"gbif","2018-04-17",1880457467,"85"
"Puma concolor",-110.642937,32.014236,"gbif","2018-04-04",1891287517,"86"
"Puma concolor",-117.685783,33.735083,"gbif","2018-04-06",1913653445,"87"
"Puma concolor",-122.532683,38.505626,"gbif","2018-04-26",1847437992,"88"
"Puma concolor",-121.424986,37.04642,"gbif","2018-04-23",1839252226,"89"
"Puma concolor",-122.006912,37.171091,"gbif","2018-04-29",1847425797,"90"
"Puma concolor",-122.408187,38.554583,"gbif","2018-05-06",1847591588,"91"
"Puma concolor",-110.278852,31.400103,"gbif","2018-05-26",1848802420,"92"
"Puma concolor",-122.803676,38.513237,"gbif","2018-05-29",1850954243,"93"
"Puma concolor",-116.592071,32.97806,"gbif","2018-05-03",1898792577,"94"
"Puma concolor",-119.336674,36.98582,"gbif","2018-05-16",1880464258,"95"
"Puma concolor",-93.478149,16.043454,"gbif","2018-05-02",1848809220,"96"
"Puma concolor",-121.698334,37.573055,"gbif","2018-05-26",1848759451,"97"
"Puma concolor",-122.296793,37.467229,"gbif","2018-05-10",1880568376,"98"
"Puma concolor",-121.395576,37.169778,"gbif","2018-05-31",1848810125,"99"
"Puma concolor",-121.366741,37.12046,"gbif","2018-05-26",1914205506,"100"
"Puma concolor",-121.202221,36.500199,"gbif","2018-05-16",1847578290,"101"
"Puma concolor",-122.419858,38.576718,"gbif","2018-05-03",1847474802,"102"
"Puma concolor",-121.695871,37.321409,"gbif","2018-05-10",1847492556,"103"
"Puma concolor",-122.456241,38.541259,"gbif","2018-05-27",1880503184,"104"
"Puma concolor",-119.887767,39.085903,"gbif","2018-05-03",1880461544,"105"
"Puma concolor",-108.356609,31.070845,"gbif","2018-05-01",1847565674,"106"
"Puma concolor",-121.413286,37.086301,"gbif","2018-05-22",1847594264,"107"
"Puma concolor",-122.547834,38.425588,"gbif","2018-05-02",1847437949,"108"
"Puma concolor",-118.767898,34.0007,"gbif","2018-05-02",1841315754,"109"
"Puma concolor",-122.564704,38.248657,"gbif","2018-05-04",1847595125,"110"
"Puma concolor",-118.713378,34.399975,"gbif","2018-06-13",1850981661,"111"
"Puma concolor",-122.21109,37.577665,"gbif","2018-06-04",1880551381,"112"
"Puma concolor",-122.716677,38.518087,"gbif","2018-06-19",1880631755,"113"
"Puma concolor",-118.714592,34.399933,"gbif","2018-06-14",1850985032,"114"
"Puma concolor",-118.705513,34.4002,"gbif","2018-06-13",1850981650,"115"
"Puma concolor",-122.646839,48.180559,"gbif","2018-06-02",1848798093,"116"
"Puma concolor",-71.79144,-16.237834,"gbif","2018-06-24",1880579541,"117"
"Puma concolor",-122.49565,38.533646,"gbif","2018-06-08",1880503317,"118"
"Puma concolor",-121.478316,37.10791,"gbif","2018-06-29",1901072432,"119"
"Puma concolor",-51.928406,-22.287235,"gbif","2018-06-10",1850958578,"120"
"Puma concolor",-122.92494,38.471464,"gbif","2018-06-21",1880598388,"121"
"Puma concolor",-122.576257,38.437711,"gbif","2018-06-30",1883495135,"122"
"Puma concolor",-76.052165,-0.547531,"gbif","2018-06-27",1883531704,"123"
"Puma concolor",-107.296958,44.009308,"gbif","2018-06-23",1880569999,"124"
"Puma concolor",-110.615499,32.708764,"gbif","2018-07-14",1914241009,"125"
"Puma concolor",-119.260445,34.579942,"gbif","2018-07-22",1891293716,"126"
"Puma concolor",-109.000429,31.312614,"gbif","2018-07-29",1898825879,"127"
"Puma concolor",-100.320919,21.212432,"gbif","2018-07-29",1898825626,"128"
"Puma concolor",-119.33963,34.349518,"gbif","2018-07-17",1883549416,"129"
"Puma concolor",-122.521183,38.417697,"gbif","2018-07-01",1883495992,"130"
"Puma concolor",-123.909875,42.013588,"gbif","2018-07-25",1890045082,"131"
"Puma concolor",-105.661594,39.974679,"gbif","2018-07-21",1883955411,"132"
"Puma concolor",-102.696458,29.178255,"gbif","2018-07-18",1978820273,"133"
"Puma concolor",-121.502532,39.98269,"gbif","2018-08-14",1898792540,"134"
"Puma concolor",-122.559929,38.462918,"gbif","2018-08-02",1898827828,"135"
